Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-06-18 00:00:00+05:30,28372.30078125,28464.5,28210.19921875,28268.099609375,299700,0.0,0.0
2025-06-19 00:00:00+05:30,28284.099609375,28398.650390625,27958.55078125,28023.349609375,261900,0.0,0.0
2025-06-20 00:00:00+05:30,28014.44921875,28247.30078125,27970.0,28210.05078125,553900,0.0,0.0
2025-06-23 00:00:00+05:30,28033.80078125,28156.44921875,27975.80078125,28087.900390625,222100,0.0,0.0
2025-06-24 00:00:00+05:30,28270.849609375,28460.849609375,28220.80078125,28278.30078125,297900,0.0,0.0
2025-06-25 00:00:00+05:30,28406.349609375,28517.849609375,28366.44921875,28497.80078125,272100,0.0,0.0
2025-06-26 00:00:00+05:30,28565.30078125,28719.849609375,28519.94921875,28697.650390625,356600,0.0,0.0
2025-06-27 00:00:00+05:30,28832.75,28934.25,28799.900390625,28858.349609375,500200,0.0,0.0
2025-06-30 00:00:00+05:30,28904.0,29000.05078125,28837.44921875,28937.69921875,296800,0.0,0.0
2025-07-01 00:00:00+05:30,29030.55078125,29030.599609375,28711.05078125,28777.400390625,374300,0.0,0.0
2025-07-02 00:00:00+05:30,28821.5,28858.099609375,28697.099609375,28841.349609375,323500,0.0,0.0
2025-07-03 00:00:00+05:30,28883.44921875,29012.05078125,28851.80078125,28882.05078125,345500,0.0,0.0
2025-07-04 00:00:00+05:30,28934.55078125,28968.19921875,28766.400390625,28902.75,197700,0.0,0.0
2025-07-07 00:00:00+05:30,28930.69921875,29062.30078125,28863.349609375,29045.599609375,192100,0.0,0.0
2025-07-08 00:00:00+05:30,29057.05078125,29136.5,28848.25,28964.599609375,194400,0.0,0.0
2025-07-09 00:00:00+05:30,29027.099609375,29099.19921875,28941.69921875,29026.69921875,563700,0.0,0.0
2025-07-10 00:00:00+05:30,29070.69921875,29091.400390625,28889.05078125,28958.30078125,300200,0.0,0.0
2025-07-11 00:00:00+05:30,29058.94921875,29172.150390625,28908.80078125,28939.849609375,312300,0.0,0.0
2025-07-14 00:00:00+05:30,28985.099609375,29080.94921875,28901.80078125,29059.94921875,522500,0.0,0.0
2025-07-15 00:00:00+05:30,29120.05078125,29215.25,29048.599609375,29190.05078125,234200,0.0,0.0
2025-07-16 00:00:00+05:30,29206.599609375,29234.849609375,29076.900390625,29201.900390625,306500,0.0,0.0
2025-07-17 00:00:00+05:30,29244.25,29320.30078125,29197.150390625,29254.849609375,207800,0.0,0.0
2025-07-18 00:00:00+05:30,29298.349609375,29305.69921875,29068.099609375,29137.650390625,185400,0.0,0.0
2025-07-21 00:00:00+05:30,29207.19921875,29307.0,29039.75,29288.599609375,267600,0.0,0.0
2025-07-22 00:00:00+05:30,29343.05078125,29348.150390625,29170.30078125,29237.94921875,257600,0.0,0.0
2025-07-23 00:00:00+05:30,29312.69921875,29346.55078125,29166.25,29280.55078125,228300,0.0,0.0
2025-07-24 00:00:00+05:30,29317.150390625,29364.849609375,28967.69921875,28998.650390625,286600,0.0,0.0
2025-07-25 00:00:00+05:30,28955.599609375,28955.599609375,28523.150390625,28562.19921875,203000,0.0,0.0
2025-07-28 00:00:00+05:30,28559.099609375,28774.19921875,28363.94921875,28437.349609375,248700,0.0,0.0
2025-07-29 00:00:00+05:30,28407.0,28692.150390625,28349.75,28673.400390625,230500,0.0,0.0
2025-07-30 00:00:00+05:30,28702.849609375,28765.900390625,28572.0,28746.599609375,182300,0.0,0.0
2025-07-31 00:00:00+05:30,28488.349609375,28943.099609375,28476.599609375,28746.849609375,395000,0.0,0.0
2025-08-01 00:00:00+05:30,28790.69921875,29082.55078125,28638.849609375,28684.25,348900,0.0,0.0
2025-08-04 00:00:00+05:30,28648.25,28761.05078125,28521.69921875,28744.94921875,250900,0.0,0.0
2025-08-05 00:00:00+05:30,28790.0,28790.849609375,28584.150390625,28718.400390625,225300,0.0,0.0
2025-08-06 00:00:00+05:30,28788.0,28789.150390625,28341.94921875,28392.900390625,220200,0.0,0.0
2025-08-07 00:00:00+05:30,28298.349609375,28463.44921875,28095.400390625,28419.099609375,253000,0.0,0.0
2025-08-08 00:00:00+05:30,28507.69921875,28525.80078125,28110.5,28134.05078125,257700,0.0,0.0
2025-08-11 00:00:00+05:30,28125.69921875,28311.599609375,27976.150390625,28288.19921875,271400,0.0,0.0
2025-08-12 00:00:00+05:30,28341.150390625,28522.5,28224.849609375,28259.44921875,185300,0.0,0.0
2025-08-13 00:00:00+05:30,28334.099609375,28445.55078125,28297.55078125,28409.80078125,200900,0.0,0.0
2025-08-14 00:00:00+05:30,28458.849609375,28495.650390625,28214.30078125,28286.599609375,354500,0.0,0.0
2025-08-18 00:00:00+05:30,28895.5,29242.650390625,28871.69921875,29073.44921875,1095200,0.0,0.0
2025-08-19 00:00:00+05:30,29163.30078125,29499.849609375,29024.80078125,29457.75,667600,0.0,0.0
2025-08-20 00:00:00+05:30,29502.44921875,29716.150390625,29411.94921875,29685.30078125,547400,0.0,0.0
2025-08-21 00:00:00+05:30,29731.650390625,29748.19921875,29533.599609375,29603.150390625,375000,0.0,0.0
2025-08-22 00:00:00+05:30,29669.599609375,29724.94921875,29368.44921875,29388.099609375,372300,0.0,0.0
2025-08-25 00:00:00+05:30,29515.349609375,29515.44921875,29351.400390625,29418.19921875,291200,0.0,0.0
2025-08-26 00:00:00+05:30,29401.19921875,29654.900390625,29302.80078125,29518.19921875,485500,0.0,0.0
2025-08-28 00:00:00+05:30,29624.19921875,29629.44921875,29237.349609375,29273.0,295800,0.0,0.0
2025-08-29 00:00:00+05:30,29295.80078125,29529.19921875,29265.400390625,29337.55078125,330800,0.0,0.0
2025-09-01 00:00:00+05:30,29401.650390625,29623.900390625,29368.05078125,29608.44921875,324400,0.0,0.0
2025-09-02 00:00:00+05:30,29642.80078125,29878.30078125,29559.69921875,29777.55078125,322400,0.0,0.0
2025-09-03 00:00:00+05:30,29879.0,29904.80078125,29774.599609375,29889.44921875,375100,0.0,0.0
2025-09-04 00:00:00+05:30,30506.349609375,30506.349609375,29781.0,29820.650390625,537000,0.0,0.0
2025-09-05 00:00:00+05:30,29904.099609375,29999.0,29704.849609375,29873.05078125,373100,0.0,0.0
2025-09-08 00:00:00+05:30,29949.75,30098.75,29781.44921875,29987.150390625,589800,0.0,0.0
2025-09-09 00:00:00+05:30,30048.849609375,30135.94921875,29969.150390625,30107.599609375,312600,0.0,0.0
2025-09-10 00:00:00+05:30,30244.349609375,30291.44921875,30124.30078125,30167.5,338900,0.0,0.0
2025-09-11 00:00:00+05:30,30221.849609375,30296.80078125,30164.94921875,30203.400390625,688500,0.0,0.0
2025-09-12 00:00:00+05:30,30272.400390625,30285.55078125,30149.25,30245.44921875,464600,0.0,0.0
2025-09-15 00:00:00+05:30,30298.94921875,30366.30078125,30266.30078125,30295.400390625,340300,0.0,0.0
2025-09-16 00:00:00+05:30,30387.19921875,30537.400390625,30312.05078125,30499.150390625,321800,0.0,0.0
2025-09-17 00:00:00+05:30,30591.099609375,30621.099609375,30424.349609375,30535.30078125,669700,0.0,0.0
2025-09-18 00:00:00+05:30,30597.900390625,30639.69921875,30469.44921875,30583.150390625,784200,0.0,0.0
2025-09-19 00:00:00+05:30,30695.05078125,30697.55078125,30473.0,30502.099609375,569800,0.0,0.0
